question,answer,category
what are the four types of accessibility for methods, public (accessible to any class in any package) + private (accessible only to the class in which it is defined) + default (no modifier required, accessible to classes in the same package...not even to subclasses if they are not in the same package) + protected(accessible to all classes in same package and any subclass), java-oop
if you don't specify that your class extends (inherits) from another class ...which class does java assume that it inherits from, java.lang.object, java-oop
when should use 'extends', when you want to inherit attributes and methods as they are implemented - only overwriting a small portion if any,java-oop
when should use 'implements', when you are extending an API/structure but you want the methods to do different things - you must define all the methods that are present inside the interface you are implementing (extending) - if you don't provide a new implementation for one of the methods then you must label it as abstract. ,java-oop
why is it important to use packages (paths) instead of just defaulting, to prevent class collision (so that you can have a class called Driver in two different packages - otherwise we would run out of names quickly, java
what is the first line of a java file, the package declaration (where this class lives in the hierarchy) - it must be the first non-commented line, java
what is the convention for declaring and naming packages, package com.<myWebsite>.xxx.yyy.zzz.<ClassName> - you should only use the domain that you actually own, java
for class called Apple ...what is the name of the source code file and the name of the byte file, Apple.java and Apple.class respectively, java
do spaces/indentation matter in java, no - but good for readability, java
what should be private (vs public) in a method - aka accessibility, only api methods should be public - all attributes (the data) should be private and all helper methods should be private, java-oop
which methods should be allowed to call on class attributes (e.g. car.speed) directly, only the getters and setters of that attribute - all other methods should use the getters/setters if they need access to that attribute (no performance impact b/c of how java works after compiled), java-oop
write a method that takes two ints as parameters and has no return value, public void myMethod (int x<comma> int y) {}, java
write a method that returns an int, public int myMethod (int x) {}, java
how can you return multiple values from a method, you cannot do this in java, java
how can you return multiple values from a method, you cannot do this in java, java
what is over-riding / over-loading, when you use the same name for two methods but they have different signature - different parameters, java
what are the components of a method signature, method name + parameter list (return value is NOT part of the signature) ,java
how do you set up a method to take a variable number of parameters, myMethod(int ... v) - you can call this method with any number of parameters but they must all be ints - it's called "var args" and it uses an array under the hood, java
what is ... called, ellipsis (3 dots), misc
what kind of method doesn't have any return value...not even void, a constructor method, java-oop
how do you call the constructor of a class, new <className> - this creates a new instance of the class using whichever constructor you coded that matches the method signature of the call, java-oop
when is it questionable to refer to java functions as 'methods', technically all functions in java are a method because they are always inside of a class but you may not be doing object-oriented programming - for example you might just be writing a bunch of convenience methods instead of creating meaningful objects, java-oop
what happens if you don't write a constructor for a class and someone calls new <myClass> on it, java will create a constructor under-the-hood and make a new instance and assign a value to ALL attributes...the lowest value possible - equivalent of zero for each type, java-oop
write a no-argument constructor for Car class, Car() {}, java-oop
write a 1-argument constructor for Car class that takes color attribute, Car(String color) {this.color = color;} // though you should be using setters here, java-oop
what is the impact of defining an instance variable at the top level of a class (e.g. someClass {String name;}), it makes the variable super public - it allows the instance variable to be set directly without using a traditional setter (e.g. instance.name = "xxx") - this is a loss of control for some gain of performance, java-oop
should you use getters/setters inside a constructor, yes - this is a good example of not touching the attributes directly..always use getters/setters, java-oop
write a getter for a car's speed, public int getSpeed() {return this.speed}, java-oop
write a setter for a car's speed, public void setSpeed(int speed) {this.speed = speed;}, java-oop
what does static mean, of the class - it is not related to an instance of the class - could be an attribute or method, java-oop
declare a public static attribute of a class, public static int MAX_SPEED = 50, java-oop
give an example of a java class that uses a lot of static methods, System (e.g. System.out) and Math (e.g. Math.sqrt()), java-oop
what is "Car()" in this statement: "Car racer = new Car()", a reference to the no-argument constructor for Car, java-oop
what happens when you call "new" to create a new object, a) load the class in memory - if not already loaded + b) allocate enough memory to hold all the attributes/data for the new instance + c) link the variable name with a reference to the new memory location + d) link the variable name with the loaded class (which contains the methods available to the instance), java-oop
what manages everything that happens when you call "new" to create a new object, the JVM manages this and the details of how it happens depend on that particular JVM implementation, java-oop
if an attribute is public how can you assign a value to that attribute, carInstance.speed = 12, java-oop
how did java webapps originally work, browser would load an applet (a class) - from there the browser could see all the classes available but then it would have to load those classes in subsequent calls to the backend, java
what are JAR files, zip files containing all the classes in a program so the browser doesn't have to call the server every time a new class needs to be loaded - it immediately loads the jar file into RAM, java
why are they called JAR files, there was the notion of java beans - the zip files contain all the classes - you put beans in a jar, java
where are JAR files located, in the lib directory, java
what is a "namespace clash", when two classes have the same name - packages help to deal with this, java
how do you import an entire package - instead of just one class from it, import java.io.* (using a wildcard) - this is discouraged b/c could lead to name collisions, java
what does the compiler do when it reads import statement, it makes a name table - mapping a name (e.g. class name) to the path, java
how do you differentiate when importing two classes of the same name (e.g. a.b.Box and x.y.Box), you import one - for the other you have to use the fully qualified name when referring to it in code, java
which package is implicitly available - you never have to import it, java.lang and any class in the same package, java
when in java would you need to handle null, when you declare a variable (points it to null) and then forget to assign it, java
how do you handle null in java, first try to avoid it altogether by returning -1 instead of null - if you must use it ...if(someVar != null) {}, java
write a ternary statement in java, char someVar = (5>2) ? 'Y' : 'N';, java
how does java treat white space, it ignores it - in java we only use white space to make code more readable for humans, java
how do you account for an error being thrown when you write a method, void myMethod(<params>) throws Exception {}, java
how do you exi the code before getting to the end of the main method, System.exit(0) - exits and signals everything is ok - or System.exit(1) - exits and signals that something went wrong like an error, java
how do you handle errors, 1) import the type of error you need to catch (e.g. import java.io.IOException) 2) try/catch (e.g. try { <insert code> } catch { Systems.exit(1);}, java
what is the inheritance order of List + Iterable + Collection, 1) Iterable 2) Collection extends Iterable 3) List extends Collection, java
